CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
15,BOYACÁ,SAN MATEO,15673,Municipio,6.395388812,-72.55184862
15,BOYACÁ,SAN MIGUEL DE SEMA,15676,Municipio,5.532326922,-73.74715898
15,BOYACÁ,SAN PABLO DE BORBUR,15681,Municipio,5.677345066,-74.11403749
15,BOYACÁ,SANTANA,15686,Municipio,6.057614971,-73.48974828
15,BOYACÁ,SANTA MARÍA,15690,Municipio,4.823002556,-73.25377506
15,BOYACÁ,SANTA ROSA DE VITERBO,15693,Municipio,5.892950301,-72.9917278
15,BOYACÁ,SANTA SOFÍA,15696,Municipio,5.731602716,-73.60366287
15,BOYACÁ,SATIVANORTE,15720,Municipio,6.13211793,-72.73032415
15,BOYACÁ,SATIVASUR,15723,Municipio,6.083405978,-72.72410815
15,BOYACÁ,SIACHOQUE,15740,Municipio,5.498747701,-73.21681778
15,BOYACÁ,SOATÁ,15753,Municipio,6.323088045,-72.69604089
15,BOYACÁ,SOCOTÁ,15755,Municipio,5.906513772,-72.53646361
15,BOYACÁ,SOCHA,15757,Municipio,5.960498836,-72.68239784
15,BOYACÁ,SOGAMOSO,15759,Municipio,5.646672053,-72.8709565
15,BOYACÁ,SOMONDOCO,15761,Municipio,4.970974064,-73.42878785
15,BOYACÁ,SORA,15762,Municipio,5.580573191,-73.44371838
15,BOYACÁ,SOTAQUIRÁ,15763,Municipio,5.763010553,-73.24352232
15,BOYACÁ,SORACÁ,15764,Municipio,5.494890461,-73.31899997
15,BOYACÁ,SUSACÓN,15774,Municipio,6.215200578,-72.71575634
15,BOYACÁ,SUTAMARCHÁN,15776,Municipio,5.640030759,-73.62598773
15,BOYACÁ,SUTATENZA,15778,Municipio,5.030711335,-73.41224401
15,BOYACÁ,TASCO,15790,Municipio,5.882294313,-72.72626817
15,BOYACÁ,TENZA,15798,Municipio,5.071413139,-73.42479699
15,BOYACÁ,TIBANÁ,15804,Municipio,5.301116649,-73.3932521
15,BOYACÁ,TIBASOSA,15806,Municipio,5.747329389,-73.01114724
15,BOYACÁ,TINJACÁ,15808,Municipio,5.577566497,-73.67614572
15,BOYACÁ,TIPACOQUE,15810,Municipio,6.42035349,-72.69463583
15,BOYACÁ,TOCA,15814,Municipio,5.580254287,-73.1606969
15,BOYACÁ,TOGÜÍ,15816,Municipio,5.921830062,-73.48921806
15,BOYACÁ,TÓPAGA,15820,Municipio,5.765350303,-72.83672958
15,BOYACÁ,TOTA,15822,Municipio,5.501297215,-72.99633297
15,BOYACÁ,TUNUNGUÁ,15832,Municipio,5.720301516,-73.94330927
15,BOYACÁ,TURMEQUÉ,15835,Municipio,5.305697418,-73.50908714
15,BOYACÁ,TUTA,15837,Municipio,5.678126998,-73.17343053
15,BOYACÁ,TUTAZÁ,15839,Municipio,6.078051903,-72.85707832
15,BOYACÁ,ÚMBITA,15842,Municipio,5.217241368,-73.46338477
15,BOYACÁ,VENTAQUEMADA,15861,Municipio,5.383385481,-73.52097942
15,BOYACÁ,VIRACACHÁ,15879,Municipio,5.440558216,-73.26627456
15,BOYACÁ,ZETAQUIRA,15897,Municipio,5.285635983,-73.16763091
17,CALDAS,MANIZALES,17001,Municipio,5.08343301,-75.50727881
17,CALDAS,AGUADAS,17013,Municipio,5.616204006,-75.4554471
17,CALDAS,ANSERMA,17042,Municipio,5.20029922,-75.75289078
17,CALDAS,ARANZAZU,17050,Municipio,5.265539969,-75.47392619
17,CALDAS,BELALCÁZAR,17088,Municipio,4.99467728,-75.81225989
17,CALDAS,CHINCHINÁ,17174,Municipio,4.974340569,-75.65954686
17,CALDAS,FILADELFIA,17272,Municipio,5.285743777,-75.58978784
17,CALDAS,LA DORADA,17380,Municipio,5.410515691,-74.72114262
17,CALDAS,LA MERCED,17388,Municipio,5.393185716,-75.55791071
17,CALDAS,MANZANARES,17433,Municipio,5.23295391,-75.15263447
17,CALDAS,MARMATO,17442,Municipio,5.492632029,-75.60209955
17,CALDAS,MARQUETALIA,17444,Municipio,5.309142491,-75.04117892
17,CALDAS,MARULANDA,17446,Municipio,5.235585244,-75.28316648
17,CALDAS,NEIRA,17486,Municipio,5.183358589,-75.50692977
17,CALDAS,NORCASIA,17495,Municipio,5.638062349,-74.85492707
17,CALDAS,PÁCORA,17513,Municipio,5.500035035,-75.48245057
17,CALDAS,PALESTINA,17524,Municipio,5.050342543,-75.66176266
17,CALDAS,PENSILVANIA,17541,Municipio,5.407187836,-75.16683996
17,CALDAS,RIOSUCIO,17614,Municipio,5.442275418,-75.75220499
17,CALDAS,RISARALDA,17616,Municipio,5.097563816,-75.73335166
17,CALDAS,SALAMINA,17653,Municipio,5.370332425,-75.40962177
17,CALDAS,SAMANÁ,17662,Municipio,5.519692873,-74.99718577
17,CALDAS,SAN JOSÉ,17665,Municipio,5.083424513,-75.8101789
17,CALDAS,SUPÍA,17777,Municipio,5.45295802,-75.64035705
17,CALDAS,VICTORIA,17867,Municipio,5.447542859,-74.83622502
17,CALDAS,VILLAMARÍA,17873,Municipio,4.940211591,-75.43544014
17,CALDAS,VITERBO,17877,Municipio,5.047822054,-75.879297
18,CAQUETÁ,FLORENCIA,18001,Municipio,1.749138704,-75.55823906
18,CAQUETÁ,ALBANIA,18029,Municipio,1.22786549,-75.88232651
18,CAQUETÁ,BELÉN DE LOS ANDAQUÍES,18094,Municipio,1.536174657,-75.90947504
18,CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150,Municipio,0.647693081,-74.27235499
18,CAQUETÁ,CURILLO,18205,Municipio,1.115379292,-75.97328452
18,CAQUETÁ,EL DONCELLO,18247,Municipio,1.713734697,-75.26878109
18,CAQUETÁ,EL PAUJÍL,18256,Municipio,1.476630016,-75.20231825
18,CAQUETÁ,LA MONTAÑITA,18410,Municipio,1.302860442,-75.23572732
18,CAQUETÁ,MILÁN,18460,Municipio,1.146692554,-75.38664764
18,CAQUETÁ,MORELIA,18479,Municipio,1.38299611,-75.67381123
18,CAQUETÁ,PUERTO RICO,18592,Municipio,2.018940891,-75.07308627
18,CAQUETÁ,SAN JOSÉ DEL FRAGUA,18610,Municipio,1.304702314,-76.11000594
18,CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,Municipio,1.308465061,-74.19746971
18,CAQUETÁ,SOLANO,18756,Municipio,0.096131862,-72.32036402
18,CAQUETÁ,SOLITA,18785,Municipio,0.943939454,-75.64668544
18,CAQUETÁ,VALPARAÍSO,18860,Municipio,1.07534915,-75.73779004
19,CAUCA,POPAYÁN,19001,Municipio,2.471704362,-76.59194419
19,CAUCA,ALMAGUER,19022,Municipio,1.912440521,-76.83494519
19,CAUCA,ARGELIA,19050,Municipio,2.329337283,-77.26314906
19,CAUCA,BALBOA,19075,Municipio,2.084732945,-77.2088133
19,CAUCA,BOLÍVAR,19100,Municipio,1.853951938,-76.96337454
19,CAUCA,BUENOS AIRES,19110,Municipio,2.988923885,-76.62158951
19,CAUCA,CAJIBÍO,19130,Municipio,2.643209848,-76.70138914
19,CAUCA,CALDONO,19137,Municipio,2.803845691,-76.42719377
19,CAUCA,CALOTO,19142,Municipio,3.062875557,-76.32127977
19,CAUCA,CORINTO,19212,Municipio,3.136753606,-76.20964569
19,CAUCA,EL TAMBO,19256,Municipio,2.534488312,-77.00511207
19,CAUCA,FLORENCIA,19290,Municipio,1.69453474,-77.08735723
19,CAUCA,GUACHENÉ,19300,Municipio,3.144389993,-76.39234811
19,CAUCA,GUAPI,19318,Municipio,2.41326696,-77.69047531
19,CAUCA,INZÁ,19355,Municipio,2.499058783,-76.13762531
19,CAUCA,JAMBALÓ,19364,Municipio,2.84981013,-76.31124919
19,CAUCA,LA SIERRA,19392,Municipio,2.187473572,-76.78228032
19,CAUCA,LA VEGA,19397,Municipio,2.053933426,-76.7588062
19,CAUCA,LÓPEZ DE MICAY,19418,Municipio,2.95819877,-77.24212158
19,CAUCA,MERCADERES,19450,Municipio,1.793825164,-77.18060381
19,CAUCA,MIRANDA,19455,Municipio,3.228235212,-76.21670827
19,CAUCA,MORALES,19473,Municipio,2.773663981,-76.74605152
19,CAUCA,PADILLA,19513,Municipio,3.194730618,-76.3362418
19,CAUCA,PÁEZ,19517,Municipio,2.733887702,-75.99368264
19,CAUCA,PATÍA,19532,Municipio,2.157983906,-77.0465762
19,CAUCA,PIAMONTE,19533,Municipio,1.054128816,-76.4443271
19,CAUCA,PIENDAMÓ - TUNÍA,19548,Municipio,2.702420026,-76.53770455
19,CAUCA,PUERTO TEJADA,19573,Municipio,3.266724205,-76.41846353
19,CAUCA,PURACÉ,19585,Municipio,2.262153618,-76.44826938
19,CAUCA,ROSAS,19622,Municipio,2.260421954,-76.74582033
19,CAUCA,SAN SEBASTIÁN,19693,Municipio,1.856261815,-76.71652424
19,CAUCA,SANTANDER DE QUILICHAO,19698,Municipio,2.984467338,-76.49873145
19,CAUCA,SANTA ROSA,19701,Municipio,1.52002179,-76.53876281
19,CAUCA,SILVIA,19743,Municipio,2.651291894,-76.35057356
19,CAUCA,SOTARÁ PAISPAMBA,19760,Municipio,2.231820541,-76.61146633
